edges,ilp_gap,ilp_optimal_found,ilp_runtime,ilp_sa_gap,ilp_solution_size,ilp_valid,instance,known_solution_size,known_solution_valid,nodes,sa_gap,sa_optimal_found,sa_runtime,sa_solution_size,sa_valid
173,3.3333333333333335,True,0.8019664287567139,31.03448275862069,29,True,ds_verifier_bremen_subgraph_100,30,True,109,26.666666666666668,True,0.780128002166748,38,True
259,2.3255813953488373,True,0.07943487167358398,14.285714285714285,42,True,ds_verifier_bremen_subgraph_150,43,True,164,11.627906976744185,True,1.3010146617889404,48,True
48,10.0,True,0.0339047908782959,0.0,9,True,ds_verifier_bremen_subgraph_20,10,True,32,10.0,True,0.09448742866516113,9,True
338,1.7241379310344827,True,1.3295574188232422,17.543859649122805,57,True,ds_verifier_bremen_subgraph_200,58,True,216,15.517241379310345,True,2.174743413925171,67,True
411,1.3333333333333335,True,7.7853429317474365,22.972972972972975,74,True,ds_verifier_bremen_subgraph_250,75,True,270,21.333333333333336,True,3.4952943325042725,91,True
477,1.1764705882352942,True,54.69304966926575,22.61904761904762,84,True,ds_verifier_bremen_subgraph_300,85,True,311,21.176470588235293,True,10.78270936012268,103,True
98,5.555555555555555,True,0.057624101638793945,5.88235294117647,17,True,ds_verifier_bremen_subgraph_50,18,True,63,0.0,True,1.0675477981567383,18,True
9,33.33333333333333,True,0.041085004806518555,0.0,2,True,ds_verifier_test,3,True,7,33.33333333333333,True,0.028898000717163086,2,True
1,33.33333333333333,True,0.0399320125579834,0.0,2,True,ds_verifier_test_isolated,3,True,3,33.33333333333333,True,0.028965473175048828,2,True
